CONSOLE,YEAR,CATEGORY,PUBLISHER,RATING,CRITICS_POINTS,USER_POINTS,SalesInMillions
ps3,2014,action,Square Enix,M,2.7666666666666666,0.0146484375,3.1703457621568525
ps3,2011,action,Electronic Arts,M,1.3134328358208955,0.0159132007233273,0.6179667081321047
pc,2019,fighting,Capcom,T,2.242424242424242,0.00662100456621,0.2189364121166532
x360,2015,action,Warner Bros. Interactive Entertainment,E10+,8.625,0.2769230769230769,0.5979405366862814
gba,2005,simulation,Ubisoft,E,3.24,0.0827586206896551,1.7454369884213663
ps3,2008,misc,Disney Interactive Studios,E,4.909090909090909,0.5833333333333334,1.222395113561118
ds,2011,strategy,Mastertronic,E10+,3.5217391304347827,0.2551724137931034,1.918451281627377
gba,2006,action,Konami Digital Entertainment,E,4.4375,0.9888888888888888,1.6486509217116536
ds,2007,role-playing,Nintendo,E,3.2857142857142856,0.152,3.744356026550777
ps2,2007,adventure,Ubisoft,T,1.59375,0.5769230769230769,0.6504236726132305
ps3,2010,misc,Konami Digital Entertainment,T,2.1,0.5499999999999999,1.9042124623840304
ps3,2009,action,Activision,E10+,2.8,0.44375,1.7612220854804108
pc,2010,role-playing,Dtp Entertainment,M,6.333333333333333,0.3052631578947368,1.857435974376198
ps2,2003,shooter,Play It,M,2.333333333333333,0.217391304347826,2.790828143539077
gc,2004,role-playing,Capcom,E,3.1904761904761907,0.6083333333333333,1.7634976737631165
gc,2002,platform,Thq,E,16.5,0.8300000000000001,2.796443565278876
pc,2010,platform,Activision,T,3.875,0.24,2.696256322402878
wii,2008,action,Sega,E10+,2.9166666666666665,1.1333333333333333,2.373587652068159
xone,2014,action,Microsoft Game Studios,M,1.1304347826086956,0.0074725274725274,2.7606894471031507
psp,2008,role-playing,Namco Bandai Games,E10+,3.411764705882353,0.8714285714285713,2.63908796274045
x360,2010,action,Take-Two Interactive,E,1.6595744680851063,0.2111111111111111,1.8412220753154112
x360,2012,sports,Electronic Arts,E,1.6382978723404256,0.1435897435897435,0.3005372301190746
ps2,2005,fighting,Atari,T,2.357142857142857,0.0891304347826087,3.743728860217887
x,2005,action,Ubisoft,T,3.941176470588236,1.2833333333333334,1.4650993226266895
pc,2006,strategy,Vivendi Games,T,2.677419354838709,0.06484375,0.0037188826715639
wii,2009,action,Capcom,M,1.3636363636363635,0.1333333333333333,4.040761566829568
x,2004,action,Sci,T,1.675,0.7,0.7037600656783882
ps4,2017,action,Sony Computer Entertainment,T,0.8888888888888888,0.0026743398781313,3.5140230000825543
pc,2012,shooter,Activision,M,6.727272727272728,0.0025625381330079,3.0242928646779728
x,2005,sports,Microsoft Game Studios,E,3.4285714285714284,0.65,2.0976240518155165
ds,2009,simulation,Electronic Arts,E,9.8,0.2,0.886467617276983
pc,2006,strategy,Eidos Interactive,T,3.0,0.0892857142857142,1.4592721282830583
xone,2015,shooter,Take-Two Interactive,M,2.3870967741935485,0.01513353115727,2.3733696414746333
x,2006,action,Atari,T,1.9696969696969695,0.0946666666666666,3.841226857590288
x360,2009,role-playing,Southpeak Games,M,1.1363636363636365,0.0300546448087431,3.2397427172018305
ds,2007,racing,Ubisoft,E,1.5789473684210529,0.5769230769230769,0.1561577001641395
ps2,2008,action,Jowood Productions,E10+,2.4,0.4055555555555555,2.5434918463670564
ps3,2013,racing,Black Bean Games,E10+,18.25,1.875,0.6467611473395557
ps3,2010,shooter,Ubisoft,T,2.896551724137931,0.197560975609756,0.8911163542215881
x360,2009,role-playing,Microsoft Game Studios,M,0.936842105263158,0.0026782035434693,3.0696215161587084
ps2,2003,racing,Ignition Entertainment,E,8.0,0.91,2.2406260584056508
ds,2009,puzzle,Nintendo,E,3.44,0.5466666666666666,2.558875152096433
pc,2005,simulation,Electronic Arts,T,3.761904761904762,0.2566666666666666,2.594064180798412
ps2,2008,action,Activision,E10+,17.25,0.25625,0.9551530582758287
ps2,2004,sports,Activision,T,13.75,0.525,3.355021011556099
psv,2015,action,Activision,M,0.5689655172413793,0.0100208768267223,4.062504531589532
ps3,2010,fighting,Thq,T,2.131578947368421,0.1472727272727272,3.9278485480831016
gba,2003,action,Electronic Arts,E,6.909090909090909,0.5266666666666667,4.699523256181682
x360,2013,fighting,Tecmo Koei,M,3.055555555555556,0.355,0.9128206355572568
gba,2004,platform,Thq,E,2.821428571428572,0.3952380952380953,2.0568060597105364
x360,2007,role-playing,Ubisoft,T,1.2777777777777777,0.115,2.471854898510932
ps2,2003,racing,Acclaim Entertainment,E,2.774193548387097,0.1673469387755101,3.8239242750086095
pc,2013,role-playing,Funcom,M,1.3454545454545457,0.0061793519216277,1.528915197697987
ps2,2011,adventure,Atari,M,4.7,0.225,2.979156966860836
ps2,2005,simulation,Global Star,E,2.210526315789474,0.4611111111111111,1.614121186569073
3ds,2015,role-playing,Nintendo,E10+,2.28,0.2526315789473684,0.1414148688894962
ps2,2005,action,Acclaim Entertainment,M,3.421052631578948,0.725,1.248397543292199
ps2,2007,adventure,Atari,M,1.7659574468085106,0.0735849056603773,2.1537803219999514
ds,2007,action,Activision,E,4.375,1.36,1.4888344405493597
pc,2007,strategy,Codemasters,T,3.0,0.0363228699551569,2.964296669120936
ps2,2005,role-playing,Square Enix,M,1.1454545454545455,0.1022471910112359,3.5182541680643578
gc,2004,platform,Sega,E,2.111111111111111,0.0564285714285714,2.1106726215748246
x360,2013,role-playing,Southpeak Games,M,1.34,0.0471428571428571,1.1241304082515131
gc,2006,shooter,Atari,E,1.6346153846153846,0.1976744186046511,0.7273842873125337
ps3,2012,sports,Electronic Arts,T,1.7391304347826086,0.0926829268292682,1.9480929963000035
ps2,2005,shooter,Virgin Interactive,M,2.1481481481481484,0.911111111111111,1.823076299110204
gc,2006,shooter,Sci,T,3.263157894736842,0.6461538461538462,1.7568185587266454
ds,2004,action,Activision,E,1.326086956521739,0.8333333333333334,0.2423356457946046
ps3,2008,adventure,Ubisoft,M,2.025,0.0093951093951093,4.813935467040179
wii,2014,role-playing,Nintendo,T,1.3114754098360657,0.0469273743016759,1.6745936929233705
x360,2015,action,Capcom,M,1.6666666666666667,0.0279850746268656,2.0221111880059386
ps3,2013,action,Tecmo Koei,T,5.818181818181818,0.78,1.1941370408890526
x360,2014,misc,Microsoft Game Studios,T,2.0,0.1777777777777777,3.779966529986301
gc,2004,sports,Activision,E,4.222222222222222,1.52,1.4023933497991137
ds,2005,misc,Thq,E,1.6470588235294117,0.15,2.972891925856231
3ds,2016,action,Warner Bros. Interactive Entertainment,T,9.714285714285714,0.1789473684210526,1.14934908012918
psp,2008,action,Activision,E10+,8.285714285714286,0.4888888888888889,3.1229336031618864
ps3,2015,role-playing,Nippon Ichi Software,T,2.096774193548387,0.148,1.9872670833974015
x360,2012,strategy,Eidos Interactive,T,1.5833333333333333,0.1804878048780488,3.145321172489088
wii,2010,platform,Nintendo,E,1.12987012987013,0.0233695652173913,4.656649008758099
x,2006,fighting,Electronic Arts,M,2.5454545454545454,0.6142857142857142,2.098677374725697
wii,2009,action,Activision,E10+,5.538461538461538,0.4357142857142856,3.0436564882557464
wii,2011,sports,Activision,E,8.75,1.3333333333333333,1.195029420737599
x360,2010,role-playing,Electronic Arts,M,0.979591836734694,0.0028227085315572,5.426056872099725
x,2005,sports,Activision,T,2.575757575757576,0.35,3.4411114074354225
pc,2014,shooter,Ubisoft,M,2.046511627906977,0.0025529265255292,0.963791897550153
wii,2011,misc,Activision,T,4.777777777777778,0.1070422535211267,2.480342778195129
ps2,2004,adventure,Sony Computer Entertainment,M,2.5161290322580645,0.2307692307692307,1.5413320631514356
ps2,2007,action,Thq,T,3.473684210526316,0.6444444444444444,2.4455419541179357
x,2002,sports,Electronic Arts,E,6.428571428571429,0.5466666666666666,2.67604478431548
psp,2010,platform,Sony Computer Entertainment,E10+,1.5106382978723405,0.225,2.5350552224084297
gc,2004,sports,Acclaim Entertainment,T,5.5,1.56,1.742797207726304
wii,2010,sports,Electronic Arts,E,2.0,0.1543859649122807,1.410272357967442
gba,2005,puzzle,Atari,E,6.2,1.25,1.86598822820044
psp,2013,action,Electronic Arts,M,5.0,0.1760869565217391,2.101209097284352
wii,2009,sports,Activision,E10+,1.6428571428571428,0.4769230769230769,1.20264623416462
xone,2017,shooter,Electronic Arts,M,1.2647058823529411,0.0024051108605787,2.7078946428015715
ps2,2007,shooter,Ubisoft,M,2.0,0.2,2.0369589888823074
x360,2007,misc,Microsoft Game Studios,E,1.3333333333333333,0.3444444444444444,1.67908880270541
wii,2011,misc,Ubisoft,E10+,8.0,0.825,2.173184594522985
wii,2013,misc,Nintendo,E,1.6222222222222222,0.0427672955974842,5.131392012161537
x360,2013,shooter,Take-Two Interactive,M,0.946236559139785,0.0142608695652173,5.1748569048364566
ps2,2007,action,Capcom,M,1.4423076923076923,0.1338709677419355,1.6606710500688688
wii,2010,misc,Ubisoft,E10+,3.083333333333333,0.3041666666666666,7.741885547185054
ps3,2013,action,Activision,T,2.40625,0.0942528735632183,3.2726651668769136
ds,2008,racing,Electronic Arts,E,3.1666666666666665,0.1016949152542373,1.0677669745964713
pc,2009,role-playing,Electronic Arts,M,1.3582089552238803,0.0024130190796857,0.2559027077635025
ps2,2005,role-playing,Ghostlight,M,2.1578947368421053,0.2078947368421052,0.907941700579982
pc,2010,action,Activision,E10+,6.454545454545454,0.65,1.008486088882704
gc,2005,role-playing,Nintendo,T,1.4333333333333331,0.0469613259668508,1.4068222979015503
x360,2010,sports,Microsoft Game Studios,E10+,1.431372549019608,0.0778947368421052,8.180193705411291
x360,2011,strategy,Ubisoft,T,1.7333333333333334,0.1842105263157894,0.3214430206781229
ps,2003,strategy,Infogrames,T,6.2,0.271875,0.8148656213440258
ps2,2006,action,Take-Two Interactive,M,1.6153846153846154,0.1164383561643835,0.7558428259621542
pc,2010,strategy,Thq,M,1.6666666666666667,0.0352941176470588,2.067688731362368
x360,2012,racing,Microsoft Game Studios,T,1.0240963855421688,0.0193548387096774,0.7572057240183729
gba,2003,racing,Rebellion,E,10.0,0.8833333333333333,1.524224890730059
x360,2016,action,Square Enix,M,4.928571428571429,0.16,1.3363515310214158
wii,2008,strategy,Thq,E10+,2.4615384615384617,0.3307692307692307,0.4100075466795231
ps2,2007,racing,Konami Digital Entertainment,E,1.627906976744186,0.4277777777777778,1.0073291657200425
pc,2012,strategy,Paradox Interactive,T,2.392857142857143,0.1163265306122449,0.0367232559022999
wiiu,2014,action,Tecmo Koei,T,3.555555555555556,0.2387096774193548,2.525093555567892
pc,2003,simulation,Microsoft Game Studios,E,4.0,0.1673469387755101,1.096854861352354
ds,2007,misc,Atari,E,3.0,0.5285714285714286,1.917494311607268
ps3,2016,role-playing,Namco Bandai Games,T,1.318840579710145,0.0072841726618705,1.2404679144843744
ps3,2009,action,Activision,E10+,3.6666666666666665,1.125,1.1716612661779453
gba,2005,fighting,Atari,T,2.8076923076923075,0.3333333333333333,1.6638338638778989
ps2,2004,adventure,Lucasarts,T,4.0,0.6916666666666668,1.1622852032284443
psp,2007,fighting,Thq,T,6.0,0.3857142857142857,2.1256201197344566
ps2,2009,adventure,Sega,M,2.264705882352941,0.1557692307692307,3.5279691421615498
x360,2014,fighting,Thq,T,1.3653846153846154,0.0699999999999999,1.2588553653942294
x,2005,adventure,Atari,M,1.6470588235294117,0.1974358974358974,1.5397738284896896
ds,2008,role-playing,Rising Star Games,T,3.842105263157895,0.55,0.2584462301702392
ds,2006,role-playing,Empire Interactive,T,3.8666666666666663,0.6083333333333333,0.9211437324247888
pc,2017,action,Ubisoft,M,2.96,0.0200534759358288,2.746359409081701
ps3,2014,action,Deep Silver,M,2.923076923076923,0.0226618705035971,0.5121342216067669
xone,2016,misc,Harmonix Music Systems,T,2.925925925925926,0.1185185185185185,2.631933298446313
ps3,2013,sports,Electronic Arts,E,3.772727272727273,0.0544554455445544,3.2137510049075635
x360,2012,action,Lucasarts,T,1.162162162162162,0.331578947368421,2.9792149861719825
ps3,2014,action,Ubisoft,M,1.3584905660377358,0.0255102040816326,0.589867414116945
ps2,2002,simulation,Metro 3D,T,3.217391304347826,0.2727272727272727,3.3388294682679014
ps4,2017,shooter,Deep Silver,M,1.1162790697674418,0.0180555555555555,1.2457527432419475
ps2,2004,simulation,Tecmo Koei,E,3.6666666666666665,0.5055555555555555,2.63907219487614
ds,2012,action,Sega,E10+,3.555555555555556,0.8,0.2910007168822472
ps3,2011,shooter,Ubisoft,M,1.0714285714285714,0.0743243243243243,2.287099251522076
ps,2002,action,Konami Digital Entertainment,M,5.0588235294117645,0.0277108433734939,1.2752289976117386
ps3,2011,shooter,Valve,E10+,1.7592592592592593,0.0089077412513255,1.638849591361923
ds,2009,shooter,Ignition Entertainment,T,1.8421052631578947,0.5285714285714286,2.460839015019786
ps2,2005,simulation,505 Games,T,2.28,1.64,1.8844357972092944
ps3,2009,action,Electronic Arts,E10+,1.8857142857142857,0.4176470588235293,3.098169374543914
ps2,2003,action,Sony Computer Entertainment,M,1.469387755102041,0.0764044943820224,1.598181142244383
gba,2003,fighting,Ubisoft,T,4.941176470588236,0.74,0.8827652511543103
wii,2012,fighting,Thq,E10+,3.0625,0.4428571428571429,1.2666975938479643
x360,2008,shooter,Take-Two Interactive,M,1.3015873015873016,0.0413265306122448,2.666529982921623
psv,2010,role-playing,Nippon Ichi Software,T,2.7857142857142856,0.0655172413793103,0.626890049214716
pc,2013,action,Deep Silver,M,3.333333333333333,0.004741980474198,0.3565619213228904
dc,1999,simulation,Sega,T,3.4166666666666665,0.525,3.3390609419692896
ps3,2011,fighting,Thq,T,2.571428571428572,0.08625,3.1113225759711653
ps,2000,action,Activision,M,5.5,0.271875,0.932927984156144
3ds,2011,simulation,Electronic Arts,T,1.793103448275862,0.1064516129032258,3.317501581742372
ps2,2006,racing,Acclaim Entertainment,E,4.6923076923076925,1.3,2.816805542672846
ps2,2007,sports,Sony Computer Entertainment,E,2.8,0.8571428571428571,0.7040928909896023
gc,2006,simulation,Electronic Arts,T,2.7,0.6,1.1051554167795357
wii,2011,racing,Activision,E,8.4,0.3444444444444444,1.6759775356552944
gc,2002,fighting,Rage Software,T,4.352941176470588,1.825,2.746741350895734
gc,2006,shooter,Electronic Arts,M,2.5625,0.2219512195121951,0.7012624926077015
ds,2009,misc,Activision,E10+,3.611111111111111,1.75,2.1479129215001267
wii,2008,sports,Electronic Arts,E,2.6206896551724137,0.2518518518518518,1.5407427709178054
ps2,2004,strategy,Lucasarts,T,2.56,1.0,1.2936155277421646
ps3,2014,role-playing,Nippon Ichi Software,T,2.2916666666666665,0.2085714285714285,0.1536600262333973
ps4,2017,misc,Sony Computer Entertainment,M,1.2291666666666667,0.0897435897435897,3.1195007643158674
pc,2018,action,Take-Two Interactive,M,1.6842105263157894,0.0020648196549921,1.3433197694495431
wii,2008,action,Warner Bros. Interactive Entertainment,E10+,4.352941176470588,0.3590909090909091,3.173293533602737
xone,2017,shooter,Microsoft Game Studios,M,1.2318840579710144,0.0056603773584905,3.1048848696446054
ps4,2018,action,Activision,M,5.454545454545454,0.0814285714285714,0.9990165068906663
x360,2013,role-playing,Electronic Arts,M,1.1267605633802815,0.0172259507829977,1.560791779390886
3ds,2013,puzzle,Sunsoft,E,6.090909090909091,1.325,2.3885692290248035
pc,2012,adventure,Electronic Arts,M,2.586206896551724,0.0148409893992932,1.3405900802248754
ps2,2007,fighting,Atari,T,2.40625,0.0635714285714285,3.6469731036499526
xone,2017,shooter,Electronic Arts,M,2.806451612903226,0.028673835125448,2.709048310118144
ps4,2016,racing,Codemasters,E,1.8478260869565215,0.0394088669950738,1.353474043213482
x,2005,simulation,Phantagram,T,3.217391304347826,0.5928571428571429,2.2928746201514105
ps2,2001,simulation,Activision,T,3.36,0.3809523809523809,2.296761128786596
psp,2011,misc,Ubisoft,E,16.0,0.4666666666666667,2.496171152240942
ps2,2008,action,Lucasarts,E10+,2.625,0.2093023255813953,0.7855441930111122
ds,2006,sports,Nintendo,E,1.725,0.2162162162162162,2.2778725147608663
pc,2011,shooter,Thq,M,1.9444444444444444,0.0103578154425612,2.3488170620473494
ps2,2008,role-playing,Tecmo Koei,M,3.56,0.0278523489932885,2.293835807701393
x,2005,action,Sega,T,1.837209302325581,0.6916666666666668,0.1152801584898072
ps3,2013,sports,Konami Digital Entertainment,E,1.925,0.08,1.3640405812559138
x,2004,action,Universal Interactive,T,2.565217391304348,0.6599999999999999,0.1977873904049119
pc,2010,simulation,Ubisoft,T,2.5625,0.0666666666666666,0.7798654908335317
ps,2004,fighting,Namco Bandai Games,E,12.8,0.123943661971831,0.4081947867533716
pc,2007,racing,Thq,T,10.166666666666666,0.1162790697674418,1.0183735222426495
ds,2007,misc,Nintendo,E,2.6818181818181817,1.0,3.0487727651514795
x,2006,sports,Sega,E,3.52,0.35,2.951337054651532
3ds,2011,adventure,Ubisoft,T,2.727272727272727,1.3199999999999998,2.208265818870681
pc,2013,strategy,Kalypso Media,T,1.6956521739130437,0.0214484679665738,2.802217412153165
ps2,2007,shooter,Atari,T,1.4705882352941178,0.3185185185185185,4.283414549361105
ps3,2013,role-playing,Dtp Entertainment,T,3.357142857142857,1.0833333333333333,0.6811689428816381
pc,2010,action,Ubisoft,T,2.363636363636364,0.1578947368421052,0.3083550719356653
psv,2017,adventure,Marvelous Interactive,M,3.1578947368421053,0.1275862068965517,2.1657947005895744
ps4,2015,adventure,Sony Computer Entertainment Europe,M,0.7669902912621359,0.0037323623122439,2.9124017632878942
ps,1998,misc,Sony Computer Entertainment,K-A,6.133333333333334,0.1541666666666666,0.8600254449059611
psv,2015,action,Sony Computer Entertainment,T,5.0,0.0337837837837837,1.17411820423542
ps2,2005,role-playing,Sony Computer Entertainment,T,2.92,0.3074074074074074,0.1335469534068246
pc,2015,action,Electronic Arts,E,12.285714285714286,0.0228373702422145,1.1118172177676082
x,2006,racing,Empire Interactive,T,1.9210526315789476,0.9125,2.279834361828688
ps3,2015,role-playing,Aksys Games,T,4.0,0.3133333333333333,1.726093847459813
xone,2018,shooter,Ubisoft,M,3.083333333333333,0.0270588235294117,2.253906614048632
pc,2010,role-playing,1C Company,T,3.28,0.0540880503144654,2.582431571476021
psv,2016,role-playing,Nippon Ichi Software,M,2.64,0.296,2.807667172432514
ds,2007,puzzle,Midway Games,E10+,3.736842105263158,0.6333333333333333,3.234247132510654
gc,2006,platform,Sega,E10+,2.3181818181818183,0.0537190082644628,3.3240656435740528
pc,2008,role-playing,Koch Media,T,2.533333333333333,0.1245901639344262,1.29325544994272
x,2002,racing,Thq,T,2.576923076923077,1.25,2.849753571491385
gc,2006,strategy,Nintendo,E,1.6666666666666667,0.065,2.8131518849672794
wii,2011,action,Atari,E10+,2.6206896551724137,0.3035714285714285,0.0583134122282775
ps2,2007,role-playing,Midway Games,T,1.5526315789473684,0.285,3.386482431910358
gc,2004,misc,Nintendo,E,2.1515151515151514,0.1490566037735849,1.5842120114185605
ps2,2005,sports,3Do,E,4.882352941176471,0.6749999999999999,3.156406035891813
x360,2010,action,Thq,E10+,5.5,1.05,2.4057944051436646
x,2005,action,Konami Digital Entertainment,M,1.7674418604651163,0.3192307692307692,1.2740835872793284
3ds,2011,action,Ubisoft,T,1.65625,0.2115384615384615,3.047637186196426
ds,2011,strategy,Warner Bros. Interactive Entertainment,E,2.2413793103448274,0.1745098039215686,3.717246778865589
ps3,2013,action,Namco Bandai Games,M,1.3783783783783785,0.75,1.8409205187112057
x360,2008,sports,Electronic Arts,E,1.5897435897435896,0.1764705882352941,2.037980994924754
ps2,2010,shooter,Electronic Arts,T,2.1724137931034484,0.1794117647058823,1.2212583364890155
x360,2011,fighting,Atari,T,1.44,0.1809523809523809,2.417507275468778
gba,2002,action,Ubisoft,E,5.4,0.4285714285714285,0.3447420281273188
ps3,2009,racing,Electronic Arts,E,1.5272727272727271,0.0605263157894736,3.4090532349408647
x,2008,action,Midway Games,M,2.108108108108108,0.3473684210526315,0.5664437862993834
gc,2002,racing,Nintendo,E,3.809523809523809,0.2862068965517241,2.070258195623394
ds,2007,misc,Nintendo,E,2.6666666666666665,0.0917647058823529,7.31383542950602
wii,2013,sports,Sega,E,4.333333333333333,1.875,2.830305790875269
x360,2014,role-playing,Electronic Arts,M,1.2567567567567568,0.0015537101526922,2.195137147420247
ps3,2013,action,Thq,T,3.1666666666666665,0.0818181818181818,1.096856418060477
ps2,2003,sports,Activision,E,4.052631578947368,0.56,2.8730961912468644
ps2,2006,platform,Activision,E,2.21875,0.3148148148148148,2.577538857987591
ps2,2009,action,Disney Interactive Studios,T,5.4,0.7,1.416841983583967
