ID,CONSOLE,YEAR,CATEGORY,PUBLISHER,RATING,CRITICS_POINTS,USER_POINTS,SalesInMillions
574,pc,2016,simulation,Paradox Interactive,E,1.4166666666666667,0.0063031161473087,0.5776626611503687
1982,ps2,2010,action,Lucasarts,E10+,6.416666666666667,0.525,1.112593502302745
2491,x,2006,racing,Electronic Arts,E,6.071428571428571,0.6066666666666667,1.2853425639720777
1849,x360,2012,misc,Ubisoft,E10+,2.0588235294117645,0.4529411764705882,4.373735763863823
3482,psp,2006,action,Activision,T,1.558139534883721,0.8625,0.6701623846343245
569,ds,2011,role-playing,Square Enix,E10+,1.6140350877192982,0.0200902934537246,3.142563587499464
2370,x,2008,racing,Take-Two Interactive,T,4.222222222222222,0.5142857142857143,1.375449664303158
1240,gc,2005,action,Activision,T,1.90625,0.6666666666666666,1.0850716265982014
4075,gba,2003,action,Ubisoft,T,3.6666666666666665,1.075,0.9401451710735318
205,ps3,2014,action,Ubisoft,M,1.3584905660377358,0.0255102040816326,0.589867414116945
2588,ps3,2009,racing,Electronic Arts,E,1.5272727272727271,0.0605263157894736,3.4090532349408647
1908,x360,2013,role-playing,Electronic Arts,M,1.1267605633802815,0.0172259507829977,1.560791779390886
3173,pc,2010,shooter,Deep Silver,M,1.5957446808510638,0.0159751037344398,2.335861731659828
3242,x360,2011,sports,Sega,E10+,1.488888888888889,0.3578947368421052,3.350431466320277
2522,x,2005,sports,Microsoft Game Studios,E,3.4285714285714284,0.65,2.0976240518155165
4075,gc,2003,action,Ubisoft,T,4.684210526315789,0.348,0.9806201511395828
128,pc,2011,strategy,Ubisoft,T,2.515151515151515,0.0141129032258064,2.1164260478940413
880,ps3,2011,racing,Codemasters,T,1.380952380952381,0.0863157894736842,3.772433701827599
1232,xone,2018,role-playing,Bethesda Softworks,M,2.2564102564102564,0.0035247299602046,5.211005676060476
3383,ps2,2005,platform,Sony Computer Entertainment,E,2.097560975609756,0.0464864864864864,3.177276010999674
1052,gba,2004,shooter,Take-Two Interactive,T,5.4,0.7636363636363637,1.536123013997159
3125,x,2007,shooter,Eidos Interactive,T,1.9189189189189189,0.7727272727272727,1.7220797843059534
814,psp,2005,platform,Konami Digital Entertainment,T,1.525,0.3476190476190476,1.7931474178590756
3540,x360,2012,role-playing,Square Enix,T,1.2857142857142858,0.048,3.021392669610816
3853,x360,2008,action,Sega,T,1.3095238095238095,0.2666666666666666,2.9956037695638136
1221,x360,2009,role-playing,Microsoft Game Studios,M,0.936842105263158,0.0026782035434693,3.0696215161587084
3553,gba,2005,action,Ubisoft,E10+,5.615384615384615,0.625,1.2276149299226191
329,ps3,2011,platform,Capcom,M,1.4791666666666667,0.1193548387096774,2.355016544570087
904,3ds,2015,adventure,Nintendo,E,2.6296296296296298,0.3318181818181818,0.4579007906774447
3865,x360,2012,fighting,Ignition Entertainment,T,1.105263157894737,0.1272727272727273,1.5206971402483704
4427,x,2003,racing,Activision,T,2.055555555555556,0.4,0.020254993384407
4229,ps3,2008,shooter,Midway Games,M,2.0476190476190474,0.0606299212598425,0.8248021199878546
1882,psv,2013,shooter,Sony Computer Entertainment Europe,M,0.9069767441860463,0.0170212765957446,2.5321805037202623
2390,ps3,2014,role-playing,Nippon Ichi Software,T,2.2916666666666665,0.2085714285714285,0.1536600262333973
16,ps3,2011,role-playing,Southpeak Games,E10+,1.1666666666666667,0.0835051546391752,1.693309369435521
3001,ps3,2013,platform,Ubisoft,E10+,3.9565217391304346,0.0278846153846153,0.4319868806056794
4508,x360,2010,strategy,Takara Tomy,T,2.7058823529411766,1.042857142857143,1.967976914777113
2066,x360,2006,sports,Electronic Arts,E,1.4814814814814814,0.0405405405405405,2.212590912321197
1727,x360,2012,action,Activision,E10+,2.5217391304347827,0.76,3.076233621831724
2419,wii,2011,adventure,Electronic Arts,E,2.7857142857142856,0.3071428571428571,3.2933967373628943
496,pc,2010,shooter,Activision,M,2.15,0.0006520726595249,1.513590306418723
2068,ps3,2011,sports,Electronic Arts,E,2.236842105263158,0.0333333333333333,3.783223180830844
2909,ps3,2013,action,Konami Digital Entertainment,E,1.951219512195122,0.0499999999999999,2.3061215894275087
1625,x360,2011,shooter,Microsoft Game Studios,M,0.8829787234042553,0.0060891938250428,5.274079792757944
4440,gba,2002,fighting,Thq,E,7.3,1.25,2.423270001870928
4487,psp,2009,role-playing,Sting,T,4.294117647058823,0.4388888888888889,1.0392494263276284
2588,pc,2011,racing,Electronic Arts,E,3.772727272727273,0.0149484536082474,1.6370702547208489
3002,ps3,2011,platform,Ubisoft,E10+,2.0232558139534884,0.0348547717842323,0.8496668486089916
1968,gba,2005,fighting,Acclaim Entertainment,E,2.1818181818181817,0.37,2.579394253820364
2635,ps3,2013,sports,Electronic Arts,E10+,3.8181818181818175,0.1133333333333333,3.3815794537405
4500,psp,2007,role-playing,Konami Digital Entertainment,E10+,2.206896551724138,0.5615384615384615,1.816135945836887
691,psp,2008,puzzle,Sega,E10+,2.024390243902439,0.4285714285714285,2.8167870216073974
1134,pc,2012,strategy,Sega,T,1.4516129032258065,0.0023084643693542,1.2494368623738912
3121,x,2007,action,Ubisoft,T,3.1904761904761907,0.8666666666666667,2.6439649725640164
2175,x,2004,simulation,Microsoft Game Studios,T,2.71875,0.1702127659574468,2.9599571892525685
3819,x360,2008,shooter,Take-Two Interactive,M,1.3015873015873016,0.0413265306122448,2.666529982921623
2972,ps2,2006,role-playing,Square Enix,T,2.055555555555556,0.1654545454545454,2.121669129319457
3002,psv,2015,platform,Ubisoft,E10+,1.6296296296296295,0.028,0.3496120400356621
2507,ps3,2013,sports,Take-Two Interactive,E,3.230769230769231,0.0337931034482758,3.1262070295319795
3923,ps3,2009,shooter,Electronic Arts,M,4.238095238095238,0.0446808510638297,2.21836358701674
1652,ps,2002,simulation,Ubisoft,E,13.666666666666666,0.1192307692307692,2.3136112265983213
2519,ps2,2006,sports,Midway Games,E,3.631578947368421,1.0625,1.1486862742695814
367,x360,2009,sports,Midway Games,M,3.0,0.4642857142857143,2.727388836148241
3239,pc,2009,racing,Sega,E,8.222222222222221,0.4222222222222222,2.539025403097501
367,x,2005,sports,Midway Games,M,2.6,0.55,2.679468009374219
3457,x360,2013,fighting,Namco Bandai Games,T,1.375,0.0504,0.0116036377462538
3640,ds,2008,role-playing,Konami Digital Entertainment,E10+,3.1666666666666665,0.2,2.9547673513154065
3989,x,2006,action,Take-Two Interactive,M,1.5454545454545454,0.3904761904761904,1.3643742348644845
4443,ps3,2010,fighting,Thq,T,2.108108108108108,0.1428571428571428,2.678810550029604
3097,gba,2003,racing,Zoo Digital Publishing,T,5.2,0.375,2.5109504167358976
243,ps3,2010,racing,Thq,E,2.9047619047619047,0.4545454545454545,0.6311980575840322
2047,gc,2004,action,Nintendo,E,2.294117647058824,0.0530864197530864,4.307696171259874
669,x,2007,racing,Vivendi Games,E10+,4.0588235294117645,0.7090909090909091,1.7548778763455906
3530,ps2,2003,sports,Electronic Arts,E,2.787878787878788,0.1253521126760563,3.642715427202136
2217,ps2,2005,shooter,Infogrames,T,2.631578947368421,1.2166666666666666,2.9639566804307047
2697,gba,2003,platform,Thq,E,2.933333333333333,0.625,1.683910012415966
1560,psp,2006,sports,Sony Computer Entertainment,E,2.652173913043478,0.74,1.936767005177476
3467,ps2,2006,action,Sega,M,2.242424242424242,0.1292307692307692,2.4243115662044734
2152,wiiu,2013,action,Ubisoft,T,5.0,0.2,0.9251594438762636
590,ps,1999,adventure,Human Entertainment,M,9.8,0.8142857142857143,1.8892267107240728
294,x360,2011,shooter,Electronic Arts,M,1.1733333333333331,0.0098850574712643,4.67850974193812
2550,ps2,2004,sports,Sony Computer Entertainment,E,3.7142857142857135,0.8125,1.5142566936497055
93,ps2,2004,sports,Acclaim Entertainment,E,5.4,0.4941176470588235,1.360898538266111
2113,wii,2008,action,Take-Two Interactive,M,1.631578947368421,0.1543478260869565,3.231194048742173
2354,ps,2001,platform,Sony Computer Entertainment,E,6.5,0.8625,1.7938404187828891
319,gc,2004,action,Atari,E,5.5,0.3736842105263158,2.450980762742504
881,x360,2012,racing,Codemasters,T,1.0740740740740742,0.0427710843373493,0.2028526977504374
3317,ds,2007,action,Activision,E,4.375,1.36,1.4888344405493597
2361,x,2003,fighting,Midway Games,M,3.0,0.35,2.4769120882595823
4409,ps2,2007,sports,Sony Computer Entertainment,E,2.8,0.8571428571428571,0.7040928909896023
3212,x360,2010,racing,Black Bean Games,E10+,5.6923076923076925,1.0375,0.6090164803331375
3366,x360,2012,sports,Electronic Arts,T,1.2,0.1082191780821917,1.6636578765069694
3065,3ds,2016,simulation,Marvelous Entertainment,E10+,2.571428571428572,0.4642857142857143,2.899155792202768
2234,ps4,2015,action,Konami Digital Entertainment,M,1.0714285714285714,0.0047040971168437,3.478112819061512
3165,wii,2010,role-playing,Rising Star Games,E10+,2.323529411764706,0.2179487179487179,2.809933371300912
1287,pc,2015,action,Electronic Arts,E,12.285714285714286,0.0228373702422145,1.1118172177676082
334,x360,2015,shooter,Take-Two Interactive,M,2.8181818181818183,0.0051452784503631,3.157884099191393
1159,ps2,2003,sports,Sega,E,4.7368421052631575,0.3181818181818182,0.0862162315506462
1158,ps2,2005,sports,Global Star,E,3.44,0.4499999999999999,2.68007393662904
1988,ds,2010,misc,Warner Bros. Interactive Entertainment,E,10.0,1.25,0.2391785747297939
1276,xone,2018,sports,Electronic Arts,E,1.8666666666666667,0.0095032397408207,3.169088963973099
3777,pc,2012,action,506 Games,T,2.862068965517241,0.0052307692307692,0.8530950933099071
1939,x360,2009,action,Activision,E10+,1.7857142857142858,0.23125,4.807894195125777
4357,psp,2006,sports,Konami Digital Entertainment,E,8.1,0.5928571428571429,1.224985821480946
3537,wiiu,2017,shooter,Nintendo,E10+,0.8414634146341463,0.0110612855007473,3.2501279053487075
3992,ps3,2014,role-playing,Nippon Ichi Software,T,1.2045454545454546,0.09375,0.0074702657085582
3932,ps2,2004,action,Universal Interactive,T,3.9166666666666665,1.2,3.0731552526859804
3884,ds,2007,platform,Vivendi Games,E,6.8,0.85,2.5262451885574264
2361,ps2,2002,fighting,Midway Games,M,2.548387096774193,0.0916666666666666,5.265355664649667
403,pc,2014,shooter,Take-Two Interactive,M,2.3421052631578947,0.0032852564102564,3.563176486157489
1168,ds,2010,role-playing,Nintendo,T,2.5,0.2297297297297297,1.2481786113993951
406,ps4,2017,role-playing,Focus Home Interactive,M,1.325,0.0255411255411255,1.042680144184144
666,ps2,2007,racing,Eidos Interactive,T,3.7058823529411766,1.1428571428571428,2.7310621616858444
2676,ds,2008,action,Tecmo Koei,T,1.5961538461538465,0.2166666666666666,1.0267872906944806
749,ps4,2019,role-playing,Namco Bandai Games,M,1.289855072463768,0.0043961596766043,0.8591430837929264
4325,ps3,2014,action,Nippon Ichi Software,M,2.32,0.4333333333333333,3.185179821808428
1601,x360,2012,misc,Activision,T,1.3548387096774193,0.1025316455696202,1.0953051618200704
1987,ps3,2014,action,Disney Interactive Studios,E10+,1.738095238095238,0.2088235294117646,3.102720532919675
3488,gba,2003,action,Activision,E,10.5,0.7909090909090909,1.3498891746703312
3368,wii,2009,sports,Electronic Arts,E,1.891891891891892,0.336,3.302591597615664
668,ps2,2008,action,Vivendi Games,E10+,5.833333333333333,0.1204081632653061,1.3267967208724782
2906,wii,2009,sports,Konami Digital Entertainment,E,6.307692307692308,0.4941176470588235,0.9946590166511496
1283,x360,2009,sports,Electronic Arts,E,1.7058823529411764,0.0754716981132075,0.8677147475289463
1523,ps2,2006,role-playing,505 Games,E,2.6296296296296298,0.5916666666666667,0.8204497294563373
4017,x360,2009,sports,Electronic Arts,E,1.7777777777777777,0.3,3.031841634101901
2607,3ds,2012,platform,Nintendo,E,1.1142857142857143,0.0169411764705882,11.672475720622812
2269,wii,2011,misc,Ubisoft,E10+,1.5135135135135136,0.259375,5.5134623270481935
1319,gba,2008,role-playing,Nintendo,E10+,2.833333333333333,0.1027777777777777,2.8996924401983875
2428,ps2,2002,action,Tecmo Koei,T,9.571428571428571,0.6142857142857142,2.2204412153648665
2820,x360,2008,racing,Activision,T,2.7142857142857144,0.1310344827586206,0.4031855583106324
245,ps2,2001,role-playing,Virgin Interactive,T,3.0,0.0922222222222222,4.014023838420228
3122,3ds,2018,action,Nippon Ichi Software,E10+,6.428571428571429,0.1513513513513513,1.047641531365529
2732,psv,2014,role-playing,Sony Computer Entertainment,T,3.0,0.0941176470588235,1.399843238496989
2471,ps2,2005,fighting,Namco Bandai Games,T,2.703703703703704,0.2821428571428571,3.361546258065514
1622,pc,2007,shooter,Microsoft Game Studios,M,2.25,0.0253456221198156,1.534873958339486
2988,ps3,2010,action,Thq,E,6.875,1.2,3.4705366051722857
3330,ps2,2004,action,Konami Digital Entertainment,M,1.4074074074074074,0.0408376963350785,1.6870966693813712
1453,wii,2010,misc,Midway Games,E,3.125,0.1653846153846153,1.4319459264729368
2110,ps2,2007,role-playing,Nippon Ichi Software,E10+,3.45,0.1829268292682926,0.2215762364274798
2978,pc,2007,simulation,Electronic Arts,E,5.538461538461538,0.2875,2.2937608946991848
2079,x,2003,sports,Electronic Arts,E,5.75,0.51875,3.1172463678350533
1286,x360,2012,sports,Electronic Arts,E,1.3333333333333333,0.0483870967741935,3.0337567788259587
3961,pc,2016,simulation,Electronic Arts,T,4.5,0.0621848739495798,1.5230864152824828
4054,ps2,2001,racing,Crave Entertainment,E,5.066666666666666,0.1390625,3.914780698887336
1372,pc,2013,sports,Sega,E,3.695652173913044,0.1063291139240506,1.5945436792503775
918,gc,2004,adventure,Nintendo,E,5.555555555555555,0.89,1.545574684628077
2321,psv,2018,action,Namco Bandai Games,E10+,2.28,0.4866666666666666,1.337316194737204
3431,x360,2013,racing,Sega,E,0.903846153846154,0.0214285714285714,3.283063448290444
4223,x,2002,shooter,Atari,M,2.862068965517241,0.3416666666666666,1.01838346725985
1492,xone,2019,simulation,Koch Media,T,3.533333333333333,0.0953846153846153,0.2615788415661453
3444,x360,2008,platform,Sega,E10+,1.2,0.0320833333333333,2.2213217692602467
557,psp,2011,misc,Ubisoft,E,16.0,0.4666666666666667,2.496171152240942
2237,psp,2013,action,Konami Digital Entertainment,T,1.3484848484848484,0.02,0.4195174595374312
473,ps2,2004,sports,Activision,T,13.75,0.525,3.355021011556099
592,x,2007,shooter,Take-Two Interactive,T,1.5,0.78,3.0080675863688886
2337,psp,2010,role-playing,Capcom,T,1.894736842105263,0.1048192771084337,4.129043649427938
3259,ps2,2007,action,Capcom,M,1.4423076923076923,0.1338709677419355,1.6606710500688688
3312,ps2,2006,platform,Activision,E,2.21875,0.3148148148148148,2.577538857987591
3807,ps2,2011,action,Disney Interactive Studios,T,11.166666666666666,0.875,2.054647870510456
4260,ps3,2013,role-playing,Dtp Entertainment,T,3.357142857142857,1.0833333333333333,0.6811689428816381
4185,ps2,2004,platform,Electronic Arts,E,5.0,0.1466666666666666,1.019515912683945
1450,ps2,2004,sports,Zoo Digital Publishing,E,4.666666666666667,0.725,1.3070959297502038
2215,ds,2010,platform,Capcom,E10+,2.888888888888889,0.26875,3.017236115246706
891,ps3,2011,role-playing,Nippon Ichi Software,T,2.051282051282051,0.0614173228346456,3.3400819443489254
3631,x360,2010,racing,Thq,T,1.973684210526316,0.2354838709677419,0.3245030901413572
3475,ds,2008,role-playing,Disney Interactive Studios,E,1.7027027027027026,0.240625,1.3036930597595604
106,ps2,2004,racing,Zoo Digital Publishing,T,11.75,0.5769230769230769,1.0707825069464805
3568,pc,2008,strategy,Lucasarts,T,3.0,0.1087499999999999,2.8934352389918323
3942,ds,2007,simulation,Electronic Arts,E10+,5.384615384615385,0.2541666666666666,0.904353148264683
2484,ps2,2005,racing,Electronic Arts,E,4.578947368421052,0.53125,2.3398758994611897
1009,ds,2010,role-playing,Nintendo,E10+,1.3384615384615384,0.0435643564356435,6.88289350883697
237,x360,2010,sports,Naturalmotion,E,1.862068965517241,0.1117647058823529,0.4863529276404103
1697,ps2,2004,action,Eidos Interactive,M,4.473684210526316,0.0999999999999999,1.8163122256996047
2655,x,2003,sports,Midway Games,E,3.5217391304347827,0.7333333333333334,0.6837312889762315
4072,pc,2017,shooter,Ubisoft,M,2.135135135135135,0.0091743119266055,0.4088498384170552
1993,ps4,2015,action,Warner Bros. Interactive Entertainment,E10+,1.5319148936170213,0.075,0.6507768649597205
2396,ps2,2007,role-playing,Atari,T,1.3617021276595744,0.9888888888888888,2.0413834953194976
2765,wii,2012,role-playing,Nintendo,T,1.5208333333333333,0.0808080808080808,3.1817569133462777
4399,psp,2006,misc,Activision,E10+,6.166666666666667,0.32,2.1283753256672417
3350,ds,2010,simulation,Electronic Arts,E,4.3125,0.9125,2.2891153635692496
4043,xone,2017,shooter,Electronic Arts,M,1.2647058823529411,0.0024051108605787,2.7078946428015715
605,ps2,2008,action,Ubisoft,M,1.7435897435897436,0.2851851851851852,1.8098266167744688
3510,ps3,2013,sports,Sony Computer Entertainment,E10+,1.1875,0.0759615384615384,4.873575183033282
1455,x360,2010,misc,Warner Bros. Interactive Entertainment,E,5.5,0.4111111111111111,1.9951124040181472
2384,ps3,2008,racing,Sony Computer Entertainment,T,1.3015873015873016,0.0250783699059561,0.4924269785824687
2973,ps3,2012,shooter,Bethesda Softworks,M,2.189189189189189,0.0175141242937853,1.9247133702230823
1502,psp,2009,action,Sony Computer Entertainment,M,1.1518987341772151,0.0151943462897526,1.6081235337626154
1989,ps2,2008,action,Lucasarts,E10+,2.625,0.2093023255813953,0.7855441930111122
3751,ps4,2016,action,Activision,T,0.8979591836734694,0.0327272727272727,0.2579904915990343
4041,x,2007,shooter,Electronic Arts,M,1.537037037037037,0.2542857142857143,2.705191588899688
2907,ps3,2013,sports,Konami Digital Entertainment,E,1.925,0.08,1.3640405812559138
1143,x,2006,action,Atari,T,1.9696969696969693,0.0946666666666666,3.841226857590288
2984,x360,2008,sports,Activision,E,8.2,1.2,0.1662547757938066
2609,wii,2010,platform,Nintendo,E,1.0875,0.0141176470588235,26.45620478465809
486,x,2007,shooter,Activision,T,1.6956521739130437,0.1888888888888888,0.0684306759058313
3562,ps3,2012,action,Lucasarts,T,1.9545454545454544,0.33125,0.9511665060562003
3186,ps3,2011,action,Thq,M,1.64,0.0199481865284974,0.822938788257176
2095,ps3,2015,role-playing,Aksys Games,T,4.0,0.3133333333333333,1.726093847459813
490,ps4,2015,shooter,Activision,M,2.128205128205128,0.0039419087136929,7.454514319623679
2029,ps4,2014,role-playing,Square Enix,M,1.511111111111111,0.0149082568807339,2.629541981783229
3184,ps3,2014,action,Deep Silver,M,2.923076923076923,0.0226618705035971,0.5121342216067669
444,ds,2007,puzzle,Atari,E,2.0,1.0333333333333334,2.868735563830559
1300,ps2,2007,fighting,Electronic Arts,T,2.3783783783783785,0.2432432432432432,0.1635576344073954
3880,ps3,2014,role-playing,Nippon Ichi Software,T,7.166666666666667,0.0596899224806201,1.987942949215082
1144,ps2,2007,racing,Konami Digital Entertainment,E,1.627906976744186,0.4277777777777778,1.0073291657200425
2686,ps3,2013,action,Konami Digital Entertainment,M,1.894736842105263,0.1921052631578947,2.202162285792489
2645,ps3,2009,sports,Take-Two Interactive,E10+,2.869565217391304,0.8875,0.5120900616254541
95,x,2006,sports,Acclaim Entertainment,E,2.419354838709677,0.7333333333333334,2.504020141600349
3748,x,2005,action,Konami Digital Entertainment,T,2.4,0.7,0.8795365875762008
4084,ps4,2016,shooter,Ubisoft,M,1.25,0.0031333930170098,5.911841487664838
422,gba,2001,role-playing,Ubisoft,E,5.0625,0.5058823529411764,1.747140973036132
1324,gba,2005,role-playing,Squaresoft,E,1.9772727272727275,0.0366197183098591,2.8193257019021503
2809,wii,2013,action,Disney Interactive Studios,E10+,19.0,1.3833333333333335,0.9852699798975668
2533,ps4,2018,sports,Electronic Arts,E,2.185185185185185,0.0859154929577464,3.161358478563546
3667,psp,2008,platform,Sega,E,2.4347826086956523,0.8428571428571429,0.3564906198535467
3469,ps,2001,shooter,Talonsoft,T,12.0,0.4125,1.2216591667467949
1488,x,2006,strategy,Activision,T,2.548387096774193,0.3739130434782609,2.791977829664357
1126,pc,2009,strategy,Paradox Interactive,T,2.6296296296296298,0.1868421052631579,0.217231716283814
1255,pc,2015,simulation,Focus Home Interactive,E,5.416666666666667,0.0675675675675675,3.892296549466504
4182,ps,2001,action,Sony Computer Entertainment,T,3.642857142857143,0.1551020408163265,0.5979146497295806
2873,pc,2007,strategy,Ascaron Entertainment Gmbh,T,3.75,0.1833333333333333,2.577516485115197
3003,ds,2009,misc,Ubisoft,E,4.307692307692308,0.7625,1.9263270057622777
4347,ps2,2004,role-playing,Ubisoft,T,2.6,0.2179487179487179,0.311113919734849
1093,ps3,2010,action,Tecmo Koei,T,2.3703703703703702,0.4866666666666666,3.031589445698816
1081,ps3,2012,action,Tecmo Koei,T,2.28,0.1275862068965517,3.8929289761635664
4029,ps2,2006,adventure,Disney Interactive Studios,E10+,1.911764705882353,0.4095238095238095,1.335333955916635
3482,gba,2005,action,Activision,E,5.416666666666667,1.2833333333333334,3.0563954706505942
1638,gc,2003,action,Electronic Arts,E,5.5,0.3074074074074074,0.8923737313841531
4435,ps3,2013,fighting,Thq,T,1.4705882352941178,0.1729729729729729,1.576259463097439
757,pc,2011,role-playing,Electronic Arts,T,1.25,0.044776119402985,2.3127389738909825
303,wiiu,2014,action,Nintendo,M,1.1375,0.0067699836867862,3.177101476826904
1086,ps3,2015,action,Tecmo Koei,T,17.0,0.7555555555555555,2.6556915981426408
696,x360,2013,shooter,Electronic Arts,M,1.6888888888888889,0.0194202898550724,3.726097223814669
2065,ps2,2007,sports,Electronic Arts,E,3.034482758620689,0.0661157024793388,4.686235515581303
3572,psp,2008,action,Ubisoft,T,1.967741935483871,1.0,0.5504244759374374
4081,x360,2008,action,Ubisoft,M,1.4406779661016949,0.0547297297297297,1.4068899269573651
1833,pc,2007,racing,Thq,T,10.166666666666666,0.1162790697674418,1.0183735222426495
3414,x,2006,shooter,Activision,M,2.3461538461538463,0.5,2.9242886753194592
1745,ps2,2009,platform,Vivendi Games,E10+,3.5789473684210527,1.3333333333333333,1.8208085231484616
1979,x360,2011,action,Warner Bros. Interactive Entertainment,E10+,1.362068965517241,0.1290322580645161,2.1218923562057386
1834,psp,2007,racing,Thq,T,2.708333333333333,1.3666666666666665,0.3862144238380283
4100,ps,2004,sports,Activision,E,8.7,0.2243243243243243,0.3056430506042642
2072,x360,2014,sports,Electronic Arts,E,1.4181818181818182,0.0627659574468085,4.139662861591293
1929,ps3,2013,action,Namco Bandai Games,M,1.3783783783783785,0.75,1.8409205187112057
881,ps3,2013,racing,Codemasters,T,1.6730769230769231,0.0581967213114754,2.836504738088345
2839,x360,2014,shooter,Electronic Arts,E10+,11.5,0.0598360655737704,2.2627181663540847
1791,ps3,2012,action,Sega,T,1.4642857142857142,0.1444444444444444,1.703048808158713
2852,wii,2007,role-playing,Nintendo,E,1.5588235294117647,0.0632075471698113,2.8149131859038423
3313,gc,2002,platform,Tdk Mediactive,T,6.0,0.2434782608695652,2.0882037837128173
1366,wii,2010,action,Nintendo,E,1.8461538461538465,0.5230769230769231,3.184548792222314
3551,psp,2009,shooter,Lucasarts,T,2.085714285714286,0.1717391304347826,3.341770472770248
